repo_id,dcs_3_score,t0_date,commits_per_month,unique_contributors,median_issue_response,repo_age_days,is_outlier
owner/repo_040,0.0,2022-01-01,2.6030446790889727,4,4.025919660799039,1010,False
owner/repo_041,1.0,2022-01-01,13.670944562683003,5,2.0865441104532656,1095,False
owner/repo_042,0.0,2022-01-01,0.6998744288695817,4,8.542169782332858,532,False
owner/repo_043,3.0,2022-01-01,48.008457747860476,3,2.2113648261976038,974,False
owner/repo_044,0.0,2022-01-01,5.989155536813722,4,6.778237027764629,632,False
owner/repo_045,1.0,2022-01-01,21.72511597129961,8,16.360124668706977,1185,False
owner/repo_046,1.0,2022-01-01,7.470931633152473,2,0.790545436885925,819,False
owner/repo_047,1.0,2022-01-01,14.682217918184573,2,13.320485044044354,1270,False
owner/repo_048,1.0,2022-01-01,15.82447595963595,2,6.16458495124346,1286,False
owner/repo_049,0.0,2022-01-01,4.087771990158115,7,1.7850217635641177,1345,False
owner/repo_050,3.0,2022-01-01,69.85614265472452,6,5.4357641125910385,1066,False
owner/repo_051,2.0,2022-01-01,29.844907542762815,7,8.370521375909656,998,False
owner/repo_052,3.0,2022-01-01,56.10188838583164,6,2.520844921777965,494,False
owner/repo_053,2.0,2022-01-01,45.043039950683934,7,7.057291179676925,1384,False
owner/repo_054,1.0,2022-01-01,18.2210882476655,6,14.056672035135314,1183,False
owner/repo_055,3.0,2022-01-01,50.9887075853881,4,3.2699130497924602,1057,False
owner/repo_056,0.0,2022-01-01,1.8531091790623124,2,2.0631846351443084,1158,False
owner/repo_057,0.0,2022-01-01,4.362693892625349,3,4.5284804095709275,393,False
owner/repo_058,0.0,2022-01-01,0.9256393137366391,4,5.218941816081944,513,False
owner/repo_059,1.0,2022-01-01,7.870641736061737,7,10.547789724320381,375,False
owner/repo_060,1.0,2022-01-01,9.842605835884372,4,4.412665013007052,1040,False
owner/repo_061,0.0,2022-01-01,6.331208864176514,3,3.522229123465838,551,False
owner/repo_062,2.0,2022-01-01,35.29115730481868,2,2.015262260698863,1171,False
owner/repo_063,1.0,2022-01-01,8.824539990597403,6,0.9392736723102866,1108,False
owner/repo_064,0.0,2022-01-01,6.596056802684984,3,1.4832612684118152,462,False
owner/repo_065,1.0,2022-01-01,15.64814166415492,5,1.4744621450914588,419,False
owner/repo_066,0.0,2022-01-01,3.037962956412577,9,4.0604891092720266,987,False
owner/repo_067,2.0,2022-01-01,32.40967191549463,6,1.1454876429201795,1028,False
owner/repo_068,0.0,2022-01-01,1.5495173762261802,6,4.792651043156996,1122,False
owner/repo_069,3.0,2022-01-01,86.6829267917464,9,16.123632356191784,770,True
owner/repo_070,2.0,2022-01-01,29.589675524830227,4,10.755372114142514,433,False
owner/repo_071,0.0,2022-01-01,4.430788810117719,9,4.0292264963546325,1115,False
owner/repo_072,0.0,2022-01-01,0.1107484075187095,2,23.05543792214368,1322,True
owner/repo_073,2.0,2022-01-01,33.79793554972252,10,5.232876704917782,729,False
owner/repo_074,2.0,2022-01-01,24.541918147740894,6,5.807085490724123,846,False
owner/repo_075,2.0,2022-01-01,26.11325817575998,9,4.46147553022974,565,False
owner/repo_076,2.0,2022-01-01,29.50429052087027,4,4.8742168825226795,518,False
owner/repo_077,0.0,2022-01-01,1.538585310275927,1,3.176823557484253,437,False
owner/repo_078,1.0,2022-01-01,8.87785344832465,6,4.076064149603177,1077,False
owner/repo_079,0.0,2022-01-01,2.4630020920889932,8,13.37973435555491,660,False
owner/repo_080,2.0,2022-01-01,39.770591433164455,6,11.545319308803265,1405,False
owner/repo_081,1.0,2022-01-01,19.526023834247482,2,0.5015983320948209,425,False
owner/repo_082,1.0,2022-01-01,8.03637602502602,3,1.289832024585826,1303,False
owner/repo_083,0.0,2022-01-01,1.3133613160956579,5,2.552026802378384,406,False
owner/repo_084,1.0,2022-01-01,7.449767008207075,3,9.56986475326474,389,False
owner/repo_085,1.0,2022-01-01,7.866284263682627,3,11.718509216155422,1427,False
owner/repo_086,2.0,2022-01-01,26.157515679154816,5,8.348182852981195,495,False
owner/repo_087,1.0,2022-01-01,20.297787178520398,6,1.7780867572494932,472,False
owner/repo_088,2.0,2022-01-01,43.645038248030296,5,3.2312433011911494,536,False
owner/repo_089,1.0,2022-01-01,12.781322667526196,3,7.1449138768942335,466,False
owner/repo_090,0.0,2022-01-01,2.547447872310038,5,4.125785405809707,1230,False
owner/repo_091,2.0,2022-01-01,24.98252688633199,3,3.684283743191056,888,False
owner/repo_092,2.0,2022-01-01,28.607855061537283,3,3.728232697728135,639,False
owner/repo_093,1.0,2022-01-01,16.477749897716578,6,10.968218438690796,1432,False
owner/repo_094,2.0,2022-01-01,29.47779933442729,5,7.666796812641982,1181,False
owner/repo_095,1.0,2022-01-01,13.616294630205559,6,3.8943980304136536,1321,False
owner/repo_096,1.0,2022-01-01,14.79357677554534,2,6.372456014500477,1405,False
owner/repo_097,1.0,2022-01-01,11.156283878168548,4,1.5511952430636942,694,False
owner/repo_098,0.0,2022-01-01,0.5149554798022746,7,3.2364490828530332,376,False
owner/repo_099,0.0,2022-01-01,2.2833487038373166,6,10.262566342192327,580,False
