13:32:34 [INFO] h-m2: ============================================================
13:32:34 [INFO] h-m2: H-M2: NFN Equivariant Encoder Permutation Sensitivity Probing
13:32:34 [INFO] h-m2: ============================================================
13:32:34 [INFO] h-m2: [H-M2] Using device: cuda
13:32:34 [INFO] h-m2: Step 1: Loading NFN dataset...
13:32:34 [INFO] h-m2: Loading ../../.data_cache/datasets/mnist_hyp_rand/dataset_mnist_hyp_rand.pt
13:33:49 [INFO] h-m2:   trainset: 1589 final-epoch checkpoints (max_iter=50)
13:33:49 [INFO] h-m2:   valset: 322 final-epoch checkpoints (max_iter=50)
13:33:49 [INFO] h-m2:   testset: 338 final-epoch checkpoints (max_iter=50)
13:34:19 [INFO] h-m2: [H-M2] Epoch 47/150: train_loss=0.0067, val_loss=0.0077, val_rho=0.7123
13:34:20 [INFO] h-m2: [H-M2] Epoch 48/150: train_loss=0.0061, val_loss=0.0061, val_rho=0.7123
13:34:20 [INFO] h-m2: [H-M2] Epoch 49/150: train_loss=0.0062, val_loss=0.0072, val_rho=0.7123
13:34:21 [INFO] h-m2: [H-M2] Epoch 50/150: train_loss=0.0059, val_loss=0.0073, val_rho=0.7482
13:34:22 [INFO] h-m2: [H-M2] Epoch 51/150: train_loss=0.0074, val_loss=0.0078, val_rho=0.7482
13:34:22 [INFO] h-m2: [H-M2] Epoch 52/150: train_loss=0.0066, val_loss=0.0064, val_rho=0.7482
13:34:23 [INFO] h-m2: [H-M2] Epoch 53/150: train_loss=0.0068, val_loss=0.0082, val_rho=0.7482
13:34:23 [INFO] h-m2: [H-M2] Epoch 54/150: train_loss=0.0074, val_loss=0.0079, val_rho=0.7482
13:34:24 [INFO] h-m2: [H-M2] Epoch 55/150: train_loss=0.0061, val_loss=0.0078, val_rho=0.7482
13:34:24 [INFO] h-m2: [H-M2] Epoch 56/150: train_loss=0.0060, val_loss=0.0066, val_rho=0.7482
13:34:25 [INFO] h-m2: [H-M2] Epoch 57/150: train_loss=0.0063, val_loss=0.0068, val_rho=0.7482
13:34:25 [INFO] h-m2: [H-M2] Epoch 58/150: train_loss=0.0062, val_loss=0.0060, val_rho=0.7482
13:34:26 [INFO] h-m2: [H-M2] Epoch 59/150: train_loss=0.0061, val_loss=0.0064, val_rho=0.7482
13:34:27 [INFO] h-m2: [H-M2] Epoch 60/150: train_loss=0.0058, val_loss=0.0071, val_rho=0.7625
13:34:27 [INFO] h-m2: [H-M2] Epoch 61/150: train_loss=0.0062, val_loss=0.0057, val_rho=0.7625
13:34:28 [INFO] h-m2: [H-M2] Epoch 62/150: train_loss=0.0057, val_loss=0.0070, val_rho=0.7625
13:34:28 [INFO] h-m2: [H-M2] Epoch 63/150: train_loss=0.0058, val_loss=0.0064, val_rho=0.7625
13:34:29 [INFO] h-m2: [H-M2] Epoch 64/150: train_loss=0.0059, val_loss=0.0071, val_rho=0.7625
13:34:29 [INFO] h-m2: [H-M2] Epoch 65/150: train_loss=0.0058, val_loss=0.0067, val_rho=0.7625
13:34:30 [INFO] h-m2: [H-M2] Epoch 66/150: train_loss=0.0058, val_loss=0.0066, val_rho=0.7625
13:34:30 [INFO] h-m2: [H-M2] Epoch 67/150: train_loss=0.0056, val_loss=0.0055, val_rho=0.7625
13:34:31 [INFO] h-m2: [H-M2] Epoch 68/150: train_loss=0.0060, val_loss=0.0059, val_rho=0.7625
13:34:31 [INFO] h-m2: [H-M2] Epoch 69/150: train_loss=0.0061, val_loss=0.0077, val_rho=0.7625
13:34:32 [INFO] h-m2: [H-M2] Epoch 70/150: train_loss=0.0062, val_loss=0.0071, val_rho=0.7728
13:34:33 [INFO] h-m2: [H-M2] Epoch 71/150: train_loss=0.0055, val_loss=0.0064, val_rho=0.7728
13:34:33 [INFO] h-m2: [H-M2] Epoch 72/150: train_loss=0.0057, val_loss=0.0083, val_rho=0.7728
13:34:34 [INFO] h-m2: [H-M2] Epoch 73/150: train_loss=0.0053, val_loss=0.0070, val_rho=0.7728
13:34:34 [INFO] h-m2: [H-M2] Epoch 74/150: train_loss=0.0053, val_loss=0.0053, val_rho=0.7728
13:34:35 [INFO] h-m2: [H-M2] Epoch 75/150: train_loss=0.0052, val_loss=0.0064, val_rho=0.7728
13:34:35 [INFO] h-m2: [H-M2] Epoch 76/150: train_loss=0.0061, val_loss=0.0086, val_rho=0.7728
13:34:36 [INFO] h-m2: [H-M2] Epoch 77/150: train_loss=0.0058, val_loss=0.0059, val_rho=0.7728
13:34:36 [INFO] h-m2: [H-M2] Epoch 78/150: train_loss=0.0052, val_loss=0.0058, val_rho=0.7728
13:34:37 [INFO] h-m2: [H-M2] Epoch 79/150: train_loss=0.0057, val_loss=0.0069, val_rho=0.7728
13:34:38 [INFO] h-m2: [H-M2] Epoch 80/150: train_loss=0.0054, val_loss=0.0057, val_rho=0.7888
13:34:38 [INFO] h-m2: [H-M2] Epoch 81/150: train_loss=0.0050, val_loss=0.0058, val_rho=0.7888
13:34:39 [INFO] h-m2: [H-M2] Epoch 82/150: train_loss=0.0049, val_loss=0.0054, val_rho=0.7888
13:34:39 [INFO] h-m2: [H-M2] Epoch 83/150: train_loss=0.0049, val_loss=0.0054, val_rho=0.7888
13:34:40 [INFO] h-m2: [H-M2] Epoch 84/150: train_loss=0.0053, val_loss=0.0057, val_rho=0.7888
13:34:40 [INFO] h-m2: [H-M2] Epoch 85/150: train_loss=0.0051, val_loss=0.0053, val_rho=0.7888
13:34:41 [INFO] h-m2: [H-M2] Epoch 86/150: train_loss=0.0049, val_loss=0.0062, val_rho=0.7888
13:34:41 [INFO] h-m2: [H-M2] Epoch 87/150: train_loss=0.0048, val_loss=0.0054, val_rho=0.7888
13:34:42 [INFO] h-m2: [H-M2] Epoch 88/150: train_loss=0.0048, val_loss=0.0057, val_rho=0.7888
13:34:42 [INFO] h-m2: [H-M2] Epoch 89/150: train_loss=0.0047, val_loss=0.0059, val_rho=0.7888
13:34:43 [INFO] h-m2: [H-M2] Epoch 90/150: train_loss=0.0047, val_loss=0.0053, val_rho=0.7986
13:34:44 [INFO] h-m2: [H-M2] Epoch 91/150: train_loss=0.0048, val_loss=0.0060, val_rho=0.7986
13:34:44 [INFO] h-m2: [H-M2] Epoch 92/150: train_loss=0.0047, val_loss=0.0070, val_rho=0.7986
13:34:45 [INFO] h-m2: [H-M2] Epoch 93/150: train_loss=0.0046, val_loss=0.0056, val_rho=0.7986
13:34:45 [INFO] h-m2: [H-M2] Epoch 94/150: train_loss=0.0047, val_loss=0.0054, val_rho=0.7986
13:34:46 [INFO] h-m2: [H-M2] Epoch 95/150: train_loss=0.0048, val_loss=0.0059, val_rho=0.7986
13:34:46 [INFO] h-m2: [H-M2] Epoch 96/150: train_loss=0.0051, val_loss=0.0068, val_rho=0.7986
13:34:47 [INFO] h-m2: [H-M2] Epoch 97/150: train_loss=0.0048, val_loss=0.0070, val_rho=0.7986
13:34:47 [INFO] h-m2: [H-M2] Epoch 98/150: train_loss=0.0050, val_loss=0.0057, val_rho=0.7986
13:34:48 [INFO] h-m2: [H-M2] Epoch 99/150: train_loss=0.0045, val_loss=0.0049, val_rho=0.7986
13:34:49 [INFO] h-m2: [H-M2] Epoch 100/150: train_loss=0.0046, val_loss=0.0055, val_rho=0.8051
13:34:49 [INFO] h-m2: [H-M2] Epoch 101/150: train_loss=0.0045, val_loss=0.0053, val_rho=0.8051
13:34:50 [INFO] h-m2: [H-M2] Epoch 102/150: train_loss=0.0046, val_loss=0.0053, val_rho=0.8051
13:34:50 [INFO] h-m2: [H-M2] Epoch 103/150: train_loss=0.0044, val_loss=0.0055, val_rho=0.8051
13:34:51 [INFO] h-m2: [H-M2] Epoch 104/150: train_loss=0.0052, val_loss=0.0055, val_rho=0.8051
13:34:51 [INFO] h-m2: [H-M2] Epoch 105/150: train_loss=0.0048, val_loss=0.0055, val_rho=0.8051
13:34:52 [INFO] h-m2: [H-M2] Epoch 106/150: train_loss=0.0044, val_loss=0.0076, val_rho=0.8051
13:34:52 [INFO] h-m2: [H-M2] Epoch 107/150: train_loss=0.0051, val_loss=0.0060, val_rho=0.8051
13:34:53 [INFO] h-m2: [H-M2] Epoch 108/150: train_loss=0.0044, val_loss=0.0051, val_rho=0.8051
13:34:54 [INFO] h-m2: [H-M2] Epoch 109/150: train_loss=0.0045, val_loss=0.0060, val_rho=0.8051
13:34:54 [INFO] h-m2: [H-M2] Epoch 110/150: train_loss=0.0045, val_loss=0.0050, val_rho=0.7986
13:34:55 [INFO] h-m2: [H-M2] Epoch 111/150: train_loss=0.0044, val_loss=0.0051, val_rho=0.7986
13:34:55 [INFO] h-m2: [H-M2] Epoch 112/150: train_loss=0.0044, val_loss=0.0052, val_rho=0.7986
13:34:56 [INFO] h-m2: [H-M2] Epoch 113/150: train_loss=0.0044, val_loss=0.0053, val_rho=0.7986
13:34:56 [INFO] h-m2: [H-M2] Epoch 114/150: train_loss=0.0044, val_loss=0.0048, val_rho=0.7986
13:34:57 [INFO] h-m2: [H-M2] Epoch 115/150: train_loss=0.0044, val_loss=0.0052, val_rho=0.7986
13:34:58 [INFO] h-m2: [H-M2] Epoch 116/150: train_loss=0.0043, val_loss=0.0050, val_rho=0.7986
13:34:58 [INFO] h-m2: [H-M2] Epoch 117/150: train_loss=0.0042, val_loss=0.0053, val_rho=0.7986
13:34:59 [INFO] h-m2: [H-M2] Epoch 118/150: train_loss=0.0045, val_loss=0.0056, val_rho=0.7986
13:34:59 [INFO] h-m2: [H-M2] Epoch 119/150: train_loss=0.0043, val_loss=0.0058, val_rho=0.7986
13:35:00 [INFO] h-m2: [H-M2] Epoch 120/150: train_loss=0.0044, val_loss=0.0055, val_rho=0.8198
13:35:00 [INFO] h-m2: [H-M2] Epoch 121/150: train_loss=0.0041, val_loss=0.0050, val_rho=0.8198
13:35:01 [INFO] h-m2: [H-M2] Epoch 122/150: train_loss=0.0041, val_loss=0.0050, val_rho=0.8198
13:35:01 [INFO] h-m2: [H-M2] Epoch 123/150: train_loss=0.0043, val_loss=0.0051, val_rho=0.8198
13:35:02 [INFO] h-m2: [H-M2] Epoch 124/150: train_loss=0.0041, val_loss=0.0051, val_rho=0.8198
13:35:03 [INFO] h-m2: [H-M2] Epoch 125/150: train_loss=0.0041, val_loss=0.0049, val_rho=0.8198
13:35:03 [INFO] h-m2: [H-M2] Epoch 126/150: train_loss=0.0041, val_loss=0.0049, val_rho=0.8198
13:35:04 [INFO] h-m2: [H-M2] Epoch 127/150: train_loss=0.0041, val_loss=0.0048, val_rho=0.8198
13:35:04 [INFO] h-m2: [H-M2] Epoch 128/150: train_loss=0.0042, val_loss=0.0048, val_rho=0.8198
13:35:05 [INFO] h-m2: [H-M2] Epoch 129/150: train_loss=0.0041, val_loss=0.0050, val_rho=0.8198
13:35:05 [INFO] h-m2: [H-M2] Epoch 130/150: train_loss=0.0041, val_loss=0.0049, val_rho=0.8123
13:35:06 [INFO] h-m2: [H-M2] Epoch 131/150: train_loss=0.0041, val_loss=0.0050, val_rho=0.8123
13:35:06 [INFO] h-m2: [H-M2] Epoch 132/150: train_loss=0.0040, val_loss=0.0051, val_rho=0.8123
13:35:07 [INFO] h-m2: [H-M2] Epoch 133/150: train_loss=0.0041, val_loss=0.0049, val_rho=0.8123
13:35:08 [INFO] h-m2: [H-M2] Epoch 134/150: train_loss=0.0041, val_loss=0.0052, val_rho=0.8123
13:35:08 [INFO] h-m2: [H-M2] Epoch 135/150: train_loss=0.0040, val_loss=0.0050, val_rho=0.8123
13:35:09 [INFO] h-m2: [H-M2] Epoch 136/150: train_loss=0.0040, val_loss=0.0049, val_rho=0.8123
13:35:09 [INFO] h-m2: [H-M2] Epoch 137/150: train_loss=0.0040, val_loss=0.0049, val_rho=0.8123
13:35:10 [INFO] h-m2: [H-M2] Epoch 138/150: train_loss=0.0040, val_loss=0.0050, val_rho=0.8123
13:35:10 [INFO] h-m2: [H-M2] Epoch 139/150: train_loss=0.0040, val_loss=0.0050, val_rho=0.8123
13:35:11 [INFO] h-m2: [H-M2] Epoch 140/150: train_loss=0.0040, val_loss=0.0049, val_rho=0.8111
13:35:11 [INFO] h-m2: [H-M2] Epoch 141/150: train_loss=0.0040, val_loss=0.0049, val_rho=0.8111
13:35:12 [INFO] h-m2: [H-M2] Epoch 142/150: train_loss=0.0040, val_loss=0.0049, val_rho=0.8111
13:35:13 [INFO] h-m2: [H-M2] Epoch 143/150: train_loss=0.0040, val_loss=0.0049, val_rho=0.8111
13:35:13 [INFO] h-m2: [H-M2] Epoch 144/150: train_loss=0.0040, val_loss=0.0049, val_rho=0.8111
13:35:14 [INFO] h-m2: [H-M2] Epoch 145/150: train_loss=0.0040, val_loss=0.0049, val_rho=0.8111
13:35:14 [INFO] h-m2: [H-M2] Epoch 146/150: train_loss=0.0039, val_loss=0.0049, val_rho=0.8111
13:35:15 [INFO] h-m2: [H-M2] Epoch 147/150: train_loss=0.0039, val_loss=0.0049, val_rho=0.8111
13:35:15 [INFO] h-m2: [H-M2] Epoch 148/150: train_loss=0.0040, val_loss=0.0049, val_rho=0.8111
13:35:16 [INFO] h-m2: [H-M2] Epoch 149/150: train_loss=0.0039, val_loss=0.0049, val_rho=0.8111
13:35:17 [INFO] h-m2: [H-M2] Epoch 150/150: train_loss=0.0039, val_loss=0.0049, val_rho=0.8096
13:35:17 [INFO] h-m2: [H-M2] Training complete. Best val_loss=0.0048
13:35:17 [INFO] h-m2:   Training complete. Final val_rho=0.8096
13:35:17 [INFO] h-m2: Step 4: Computing Spearman rho on test set...
13:35:17 [INFO] h-m2: [H-M2] NFN trained. Spearman ρ = 0.6806. Running permutation sensitivity probing...
13:35:17 [INFO] h-m2: Step 5: Computing NFN permutation sensitivity...
13:35:17 [INFO] h-m2: [H-M2] Running NFN permutation sensitivity probing on 500 pairs...
NFN Probing:   0%|          | 0/500 [00:00<?, ?it/s]NFN Probing:   2%|▏         | 12/500 [00:00<00:04, 110.93it/s]NFN Probing:   5%|▍         | 24/500 [00:00<00:04, 111.38it/s]NFN Probing:   7%|▋         | 36/500 [00:00<00:04, 111.57it/s]NFN Probing:  10%|▉         | 48/500 [00:00<00:04, 111.65it/s]NFN Probing:  12%|█▏        | 60/500 [00:00<00:03, 111.66it/s]NFN Probing:  14%|█▍        | 72/500 [00:00<00:03, 111.63it/s]NFN Probing:  17%|█▋        | 84/500 [00:00<00:03, 111.62it/s]NFN Probing:  19%|█▉        | 96/500 [00:00<00:03, 111.65it/s]NFN Probing:  22%|██▏       | 108/500 [00:00<00:03, 111.60it/s]NFN Probing:  24%|██▍       | 120/500 [00:01<00:03, 111.61it/s]NFN Probing:  26%|██▋       | 132/500 [00:01<00:03, 111.62it/s]NFN Probing:  29%|██▉       | 144/500 [00:01<00:03, 111.56it/s]NFN Probing:  31%|███       | 156/500 [00:01<00:03, 111.24it/s]NFN Probing:  34%|███▎      | 168/500 [00:01<00:02, 111.35it/s]NFN Probing:  36%|███▌      | 180/500 [00:01<00:02, 111.40it/s]NFN Probing:  38%|███▊      | 192/500 [00:01<00:02, 111.47it/s]NFN Probing:  41%|████      | 204/500 [00:01<00:02, 111.51it/s]NFN Probing:  43%|████▎     | 216/500 [00:01<00:02, 111.57it/s]NFN Probing:  46%|████▌     | 228/500 [00:02<00:02, 111.60it/s]NFN Probing:  48%|████▊     | 240/500 [00:02<00:02, 111.59it/s]NFN Probing:  50%|█████     | 252/500 [00:02<00:02, 111.57it/s]NFN Probing:  53%|█████▎    | 264/500 [00:02<00:02, 111.32it/s]NFN Probing:  55%|█████▌    | 276/500 [00:02<00:02, 111.37it/s]NFN Probing:  58%|█████▊    | 288/500 [00:02<00:01, 111.43it/s]NFN Probing:  60%|██████    | 300/500 [00:02<00:01, 111.45it/s]NFN Probing:  62%|██████▏   | 312/500 [00:02<00:01, 111.50it/s]NFN Probing:  65%|██████▍   | 324/500 [00:02<00:01, 111.54it/s]NFN Probing:  67%|██████▋   | 336/500 [00:03<00:01, 111.43it/s]NFN Probing:  70%|██████▉   | 348/500 [00:03<00:01, 111.04it/s]NFN Probing:  72%|███████▏  | 360/500 [00:03<00:01, 111.25it/s]NFN Probing:  74%|███████▍  | 372/500 [00:03<00:01, 111.37it/s]NFN Probing:  77%|███████▋  | 384/500 [00:03<00:01, 111.36it/s]NFN Probing:  79%|███████▉  | 396/500 [00:03<00:00, 111.46it/s]NFN Probing:  82%|████████▏ | 408/500 [00:03<00:00, 111.54it/s]NFN Probing:  84%|████████▍ | 420/500 [00:03<00:00, 111.50it/s]NFN Probing:  86%|████████▋ | 432/500 [00:03<00:00, 111.52it/s]NFN Probing:  89%|████████▉ | 444/500 [00:03<00:00, 111.46it/s]NFN Probing:  91%|█████████ | 456/500 [00:04<00:00, 111.36it/s]NFN Probing:  94%|█████████▎| 468/500 [00:04<00:00, 111.35it/s]NFN Probing:  96%|█████████▌| 480/500 [00:04<00:00, 111.55it/s]NFN Probing:  98%|█████████▊| 492/500 [00:04<00:00, 111.89it/s]NFN Probing: 100%|██████████| 500/500 [00:04<00:00, 111.52it/s]
13:35:21 [INFO] h-m2: [H-M2] sensitivity_score=0.0000, mean_equiv_L2=0.0000, mean_random_L2=0.0365
13:35:21 [INFO] h-m2:   sensitivity_score=0.0000, mean_equiv_L2=0.0000, mean_random_L2=0.0365
13:35:21 [INFO] h-m2: Step 6: Running SHOULD_WORK gate check...
13:35:21 [INFO] h-m2: [H-M2] Gate PASS: sensitivity_score=0.0000 (abs_thresh=0.1, rel_thresh=0.3245)
13:35:21 [INFO] h-m2: [H-M2] gate_absolute=True, gate_relative=True
13:35:21 [INFO] h-m2: [H-M2] spearman_rho=0.6806, param_count=521,953 (in_range=True), n_pairs=500 (sufficient=True)
13:35:21 [INFO] h-m2:   [H-M2] Gate: PASS
13:35:21 [INFO] h-m2: [H-M2] Results saved to results/h-m2_results.json
13:35:21 [INFO] h-m2: Step 8: Generating 6 figures...
13:35:21 [INFO] h-m2: [H-M2] Saved figures/gate_metrics_comparison.png
13:35:21 [INFO] h-m2: [H-M2] Saved figures/l2_distribution_comparison.png
13:35:22 [INFO] h-m2: [H-M2] Saved figures/embedding_pca.png
13:35:22 [INFO] h-m2: [H-M2] Saved figures/training_curves.png
13:35:29 [INFO] h-m2: [H-M2] Saved figures/sensitivity_by_decile.png
13:35:30 [INFO] h-m2: [H-M2] Saved figures/nfn_vs_mlp_decile_comparison.png
13:35:30 [INFO] h-m2:   All 6 figures saved to figures

============================================================
H-M2 SHOULD_WORK Gate: PASS
  sensitivity_score     = 0.0000
  gate_absolute (<0.1)  = True
  gate_relative (<0.3245) = True
  spearman_rho          = 0.6806
  param_count           = 521,953
  n_pairs               = 500
  flat_mlp_score (ref)  = 0.6490
============================================================
EXPERIMENT COMPLETE
