17:50:32 INFO run_experiment: H-E1 pipeline starting | n_docs=10000000 | quick=False
17:50:32 INFO run_experiment: Directories ready.
17:50:32 INFO corpus_filter: Loading base corpus (10000000 docs)…
17:50:37 INFO httpx: HTTP Request: GET https://huggingface.co/api/datasets/mlfoundations/dclm-baseline-1.0/tree/a3b142c183aebe5af344955ae20836eb34dcf69b?expand=false&recursive=true&limit=1000&cursor=ZXlKbWFXeGxYMjVoYldVaU9pSm5iRzlpWVd3dGMyaGhjbVJmTURKZmIyWmZNVEF2Ykc5allXd3RjMmhoY21SZk1GOXZabDh4TUM5emFHRnlaRjh3TURBd01EQTVOMTl3Y205alpYTnpaV1F1YW5OdmJtd3Vlbk4wSWl3aWRISmxaVjl2YVdRaU9pSXpNalU0WVdJeU1EUTROV00zTXpVek9ERXhaRGc0TUdZek0yRTFOVGt6TlRNNE9EQTBOakV6SW4wPTozMDAw "HTTP/1.1 200 OK"
17:50:38 INFO httpx: HTTP Request: GET https://huggingface.co/api/datasets/mlfoundations/dclm-baseline-1.0/tree/a3b142c183aebe5af344955ae20836eb34dcf69b?expand=false&recursive=true&limit=1000&cursor=ZXlKbWFXeGxYMjVoYldVaU9pSm5iRzlpWVd3dGMyaGhjbVJmTURKZmIyWmZNVEF2Ykc5allXd3RjMmhoY21SZk0xOXZabDh4TUM5emFHRnlaRjh3TURBd01ESTJNRjl3Y205alpYTnpaV1F1YW5OdmJtd3Vlbk4wSWl3aWRISmxaVjl2YVdRaU9pSXpNalU0WVdJeU1EUTROV00zTXpVek9ERXhaRGc0TUdZek0yRTFOVGt6TlRNNE9EQTBOakV6SW4wPTo0MDAw "HTTP/1.1 200 OK"
17:50:38 INFO httpx: HTTP Request: GET https://huggingface.co/api/datasets/mlfoundations/dclm-baseline-1.0/tree/a3b142c183aebe5af344955ae20836eb34dcf69b?expand=false&recursive=true&limit=1000&cursor=ZXlKbWFXeGxYMjVoYldVaU9pSm5iRzlpWVd3dGMyaGhjbVJmTURKZmIyWmZNVEF2Ykc5allXd3RjMmhoY21SZk4xOXZabDh4TUM5emFHRnlaRjh3TURBd01ERTBORjl3Y205alpYTnpaV1F1YW5OdmJtd3Vlbk4wSWl3aWRISmxaVjl2YVdRaU9pSXpNalU0WVdJeU1EUTROV00zTXpVek9ERXhaRGc0TUdZek0yRTFOVGt6TlRNNE9EQTBOakV6SW4wPTo1MDAw "HTTP/1.1 200 OK"
17:50:39 INFO httpx: HTTP Request: GET https://huggingface.co/api/datasets/mlfoundations/dclm-baseline-1.0/tree/a3b142c183aebe5af344955ae20836eb34dcf69b?expand=false&recursive=true&limit=1000&cursor=ZXlKbWFXeGxYMjVoYldVaU9pSm5iRzlpWVd3dGMyaGhjbVJmTUROZmIyWmZNVEF2Ykc5allXd3RjMmhoY21SZk1WOXZabDh4TUM5emFHRnlaRjh3TURBd01EQXlPRjl3Y205alpYTnpaV1F1YW5OdmJtd3Vlbk4wSWl3aWRISmxaVjl2YVdRaU9pSXpNalU0WVdJeU1EUTROV00zTXpVek9ERXhaRGc0TUdZek0yRTFOVGt6TlRNNE9EQTBOakV6SW4wPTo2MDAw "HTTP/1.1 200 OK"
17:50:39 INFO httpx: HTTP Request: GET https://huggingface.co/api/datasets/mlfoundations/dclm-baseline-1.0/tree/a3b142c183aebe5af344955ae20836eb34dcf69b?expand=false&recursive=true&limit=1000&cursor=ZXlKbWFXeGxYMjVoYldVaU9pSm5iRzlpWVd3dGMyaGhjbVJmTUROZmIyWmZNVEF2Ykc5allXd3RjMmhoY21SZk5WOXZabDh4TUM5emFHRnlaRjh3TURBd01EQXhNbDl3Y205alpYTnpaV1F1YW5OdmJtd3Vlbk4wSWl3aWRISmxaVjl2YVdRaU9pSXpNalU0WVdJeU1EUTROV00zTXpVek9ERXhaRGc0TUdZek0yRTFOVGt6TlRNNE9EQTBOakV6SW4wPTo3MDAw "HTTP/1.1 200 OK"
17:50:39 INFO httpx: HTTP Request: GET https://huggingface.co/api/datasets/mlfoundations/dclm-baseline-1.0/tree/a3b142c183aebe5af344955ae20836eb34dcf69b?expand=false&recursive=true&limit=1000&cursor=ZXlKbWFXeGxYMjVoYldVaU9pSm5iRzlpWVd3dGMyaGhjbVJmTUROZmIyWmZNVEF2Ykc5allXd3RjMmhoY21SZk9GOXZabDh4TUM5emFHRnlaRjh3TURBd01ERTNOVjl3Y205alpYTnpaV1F1YW5OdmJtd3Vlbk4wSWl3aWRISmxaVjl2YVdRaU9pSXpNalU0WVdJeU1EUTROV00zTXpVek9ERXhaRGc0TUdZek0yRTFOVGt6TlRNNE9EQTBOakV6SW4wPTo4MDAw "HTTP/1.1 200 OK"
17:50:40 INFO httpx: HTTP Request: GET https://huggingface.co/api/datasets/mlfoundations/dclm-baseline-1.0/tree/a3b142c183aebe5af344955ae20836eb34dcf69b?expand=false&recursive=true&limit=1000&cursor=ZXlKbWFXeGxYMjVoYldVaU9pSm5iRzlpWVd3dGMyaGhjbVJmTURSZmIyWmZNVEF2Ykc5allXd3RjMmhoY21SZk1sOXZabDh4TUM5emFHRnlaRjh3TURBd01EQTFPRjl3Y205alpYTnpaV1F1YW5OdmJtd3Vlbk4wSWl3aWRISmxaVjl2YVdRaU9pSXpNalU0WVdJeU1EUTROV00zTXpVek9ERXhaRGc0TUdZek0yRTFOVGt6TlRNNE9EQTBOakV6SW4wPTo5MDAw "HTTP/1.1 200 OK"
17:50:40 INFO httpx: HTTP Request: GET https://huggingface.co/api/datasets/mlfoundations/dclm-baseline-1.0/tree/a3b142c183aebe5af344955ae20836eb34dcf69b?expand=false&recursive=true&limit=1000&cursor=ZXlKbWFXeGxYMjVoYldVaU9pSm5iRzlpWVd3dGMyaGhjbVJmTURSZmIyWmZNVEF2Ykc5allXd3RjMmhoY21SZk5WOXZabDh4TUM5emFHRnlaRjh3TURBd01ESXhPRjl3Y205alpYTnpaV1F1YW5OdmJtd3Vlbk4wSWl3aWRISmxaVjl2YVdRaU9pSXpNalU0WVdJeU1EUTROV00zTXpVek9ERXhaRGc0TUdZek0yRTFOVGt6TlRNNE9EQTBOakV6SW4wPToxMDAwMA%3D%3D "HTTP/1.1 200 OK"
17:50:41 INFO httpx: HTTP Request: GET https://huggingface.co/api/datasets/mlfoundations/dclm-baseline-1.0/tree/a3b142c183aebe5af344955ae20836eb34dcf69b?expand=false&recursive=true&limit=1000&cursor=ZXlKbWFXeGxYMjVoYldVaU9pSm5iRzlpWVd3dGMyaGhjbVJmTURSZmIyWmZNVEF2Ykc5allXd3RjMmhoY21SZk9WOXZabDh4TUM5emFHRnlaRjh3TURBd01EQTVPRjl3Y205alpYTnpaV1F1YW5OdmJtd3Vlbk4wSWl3aWRISmxaVjl2YVdRaU9pSXpNalU0WVdJeU1EUTROV00zTXpVek9ERXhaRGc0TUdZek0yRTFOVGt6TlRNNE9EQTBOakV6SW4wPToxMTAwMA%3D%3D "HTTP/1.1 200 OK"
17:50:41 INFO httpx: HTTP Request: GET https://huggingface.co/api/datasets/mlfoundations/dclm-baseline-1.0/tree/a3b142c183aebe5af344955ae20836eb34dcf69b?expand=false&recursive=true&limit=1000&cursor=ZXlKbWFXeGxYMjVoYldVaU9pSm5iRzlpWVd3dGMyaGhjbVJmTURWZmIyWmZNVEF2Ykc5allXd3RjMmhoY21SZk1sOXZabDh4TUM5emFHRnlaRjh3TURBd01ESTFPVjl3Y205alpYTnpaV1F1YW5OdmJtd3Vlbk4wSWl3aWRISmxaVjl2YVdRaU9pSXpNalU0WVdJeU1EUTROV00zTXpVek9ERXhaRGc0TUdZek0yRTFOVGt6TlRNNE9EQTBOakV6SW4wPToxMjAwMA%3D%3D "HTTP/1.1 200 OK"
17:50:42 INFO httpx: HTTP Request: GET https://huggingface.co/api/datasets/mlfoundations/dclm-baseline-1.0/tree/a3b142c183aebe5af344955ae20836eb34dcf69b?expand=false&recursive=true&limit=1000&cursor=ZXlKbWFXeGxYMjVoYldVaU9pSm5iRzlpWVd3dGMyaGhjbVJmTURWZmIyWmZNVEF2Ykc5allXd3RjMmhoY21SZk5sOXZabDh4TUM5emFHRnlaRjh3TURBd01ERXpPVjl3Y205alpYTnpaV1F1YW5OdmJtd3Vlbk4wSWl3aWRISmxaVjl2YVdRaU9pSXpNalU0WVdJeU1EUTROV00zTXpVek9ERXhaRGc0TUdZek0yRTFOVGt6TlRNNE9EQTBOakV6SW4wPToxMzAwMA%3D%3D "HTTP/1.1 200 OK"
17:50:42 INFO httpx: HTTP Request: GET https://huggingface.co/api/datasets/mlfoundations/dclm-baseline-1.0/tree/a3b142c183aebe5af344955ae20836eb34dcf69b?expand=false&recursive=true&limit=1000&cursor=ZXlKbWFXeGxYMjVoYldVaU9pSm5iRzlpWVd3dGMyaGhjbVJmTURaZmIyWmZNVEF2Ykc5allXd3RjMmhoY21SZk1GOXZabDh4TUM5emFHRnlaRjh3TURBd01EQXhPVjl3Y205alpYTnpaV1F1YW5OdmJtd3Vlbk4wSWl3aWRISmxaVjl2YVdRaU9pSXpNalU0WVdJeU1EUTROV00zTXpVek9ERXhaRGc0TUdZek0yRTFOVGt6TlRNNE9EQTBOakV6SW4wPToxNDAwMA%3D%3D "HTTP/1.1 200 OK"
17:50:42 INFO httpx: HTTP Request: GET https://huggingface.co/api/datasets/mlfoundations/dclm-baseline-1.0/tree/a3b142c183aebe5af344955ae20836eb34dcf69b?expand=false&recursive=true&limit=1000&cursor=ZXlKbWFXeGxYMjVoYldVaU9pSm5iRzlpWVd3dGMyaGhjbVJmTURaZmIyWmZNVEF2Ykc5allXd3RjMmhoY21SZk0xOXZabDh4TUM5emFHRnlaRjh3TURBd01ERTRNRjl3Y205alpYTnpaV1F1YW5OdmJtd3Vlbk4wSWl3aWRISmxaVjl2YVdRaU9pSXpNalU0WVdJeU1EUTROV00zTXpVek9ERXhaRGc0TUdZek0yRTFOVGt6TlRNNE9EQTBOakV6SW4wPToxNTAwMA%3D%3D "HTTP/1.1 200 OK"
17:50:43 INFO httpx: HTTP Request: GET https://huggingface.co/api/datasets/mlfoundations/dclm-baseline-1.0/tree/a3b142c183aebe5af344955ae20836eb34dcf69b?expand=false&recursive=true&limit=1000&cursor=ZXlKbWFXeGxYMjVoYldVaU9pSm5iRzlpWVd3dGMyaGhjbVJmTURaZmIyWmZNVEF2Ykc5allXd3RjMmhoY21SZk4xOXZabDh4TUM5emFHRnlaRjh3TURBd01EQTJNVjl3Y205alpYTnpaV1F1YW5OdmJtd3Vlbk4wSWl3aWRISmxaVjl2YVdRaU9pSXpNalU0WVdJeU1EUTROV00zTXpVek9ERXhaRGc0TUdZek0yRTFOVGt6TlRNNE9EQTBOakV6SW4wPToxNjAwMA%3D%3D "HTTP/1.1 200 OK"
17:50:43 INFO httpx: HTTP Request: GET https://huggingface.co/api/datasets/mlfoundations/dclm-baseline-1.0/tree/a3b142c183aebe5af344955ae20836eb34dcf69b?expand=false&recursive=true&limit=1000&cursor=ZXlKbWFXeGxYMjVoYldVaU9pSm5iRzlpWVd3dGMyaGhjbVJmTURkZmIyWmZNVEF2Ykc5allXd3RjMmhoY21SZk1GOXZabDh4TUM5emFHRnlaRjh3TURBd01ESXlNbDl3Y205alpYTnpaV1F1YW5OdmJtd3Vlbk4wSWl3aWRISmxaVjl2YVdRaU9pSXpNalU0WVdJeU1EUTROV00zTXpVek9ERXhaRGc0TUdZek0yRTFOVGt6TlRNNE9EQTBOakV6SW4wPToxNzAwMA%3D%3D "HTTP/1.1 200 OK"
17:50:44 INFO httpx: HTTP Request: GET https://huggingface.co/api/datasets/mlfoundations/dclm-baseline-1.0/tree/a3b142c183aebe5af344955ae20836eb34dcf69b?expand=false&recursive=true&limit=1000&cursor=ZXlKbWFXeGxYMjVoYldVaU9pSm5iRzlpWVd3dGMyaGhjbVJmTURkZmIyWmZNVEF2Ykc5allXd3RjMmhoY21SZk5GOXZabDh4TUM5emFHRnlaRjh3TURBd01ERXdNMTl3Y205alpYTnpaV1F1YW5OdmJtd3Vlbk4wSWl3aWRISmxaVjl2YVdRaU9pSXpNalU0WVdJeU1EUTROV00zTXpVek9ERXhaRGc0TUdZek0yRTFOVGt6TlRNNE9EQTBOakV6SW4wPToxODAwMA%3D%3D "HTTP/1.1 200 OK"
17:50:44 INFO httpx: HTTP Request: GET https://huggingface.co/api/datasets/mlfoundations/dclm-baseline-1.0/tree/a3b142c183aebe5af344955ae20836eb34dcf69b?expand=false&recursive=true&limit=1000&cursor=ZXlKbWFXeGxYMjVoYldVaU9pSm5iRzlpWVd3dGMyaGhjbVJmTURkZmIyWmZNVEF2Ykc5allXd3RjMmhoY21SZk4xOXZabDh4TUM5emFHRnlaRjh3TURBd01ESTJNMTl3Y205alpYTnpaV1F1YW5OdmJtd3Vlbk4wSWl3aWRISmxaVjl2YVdRaU9pSXpNalU0WVdJeU1EUTROV00zTXpVek9ERXhaRGc0TUdZek0yRTFOVGt6TlRNNE9EQTBOakV6SW4wPToxOTAwMA%3D%3D "HTTP/1.1 200 OK"
17:50:45 INFO httpx: HTTP Request: GET https://huggingface.co/api/datasets/mlfoundations/dclm-baseline-1.0/tree/a3b142c183aebe5af344955ae20836eb34dcf69b?expand=false&recursive=true&limit=1000&cursor=ZXlKbWFXeGxYMjVoYldVaU9pSm5iRzlpWVd3dGMyaGhjbVJmTURoZmIyWmZNVEF2Ykc5allXd3RjMmhoY21SZk1WOXZabDh4TUM5emFHRnlaRjh3TURBd01ERTBNMTl3Y205alpYTnpaV1F1YW5OdmJtd3Vlbk4wSWl3aWRISmxaVjl2YVdRaU9pSXpNalU0WVdJeU1EUTROV00zTXpVek9ERXhaRGc0TUdZek0yRTFOVGt6TlRNNE9EQTBOakV6SW4wPToyMDAwMA%3D%3D "HTTP/1.1 200 OK"
17:50:45 INFO httpx: HTTP Request: GET https://huggingface.co/api/datasets/mlfoundations/dclm-baseline-1.0/tree/a3b142c183aebe5af344955ae20836eb34dcf69b?expand=false&recursive=true&limit=1000&cursor=ZXlKbWFXeGxYMjVoYldVaU9pSm5iRzlpWVd3dGMyaGhjbVJmTURoZmIyWmZNVEF2Ykc5allXd3RjMmhoY21SZk5WOXZabDh4TUM5emFHRnlaRjh3TURBd01EQXlNMTl3Y205alpYTnpaV1F1YW5OdmJtd3Vlbk4wSWl3aWRISmxaVjl2YVdRaU9pSXpNalU0WVdJeU1EUTROV00zTXpVek9ERXhaRGc0TUdZek0yRTFOVGt6TlRNNE9EQTBOakV6SW4wPToyMTAwMA%3D%3D "HTTP/1.1 200 OK"
17:50:45 INFO httpx: HTTP Request: GET https://huggingface.co/api/datasets/mlfoundations/dclm-baseline-1.0/tree/a3b142c183aebe5af344955ae20836eb34dcf69b?expand=false&recursive=true&limit=1000&cursor=ZXlKbWFXeGxYMjVoYldVaU9pSm5iRzlpWVd3dGMyaGhjbVJmTURoZmIyWmZNVEF2Ykc5allXd3RjMmhoY21SZk9GOXZabDh4TUM5emFHRnlaRjh3TURBd01ERTRNMTl3Y205alpYTnpaV1F1YW5OdmJtd3Vlbk4wSWl3aWRISmxaVjl2YVdRaU9pSXpNalU0WVdJeU1EUTROV00zTXpVek9ERXhaRGc0TUdZek0yRTFOVGt6TlRNNE9EQTBOakV6SW4wPToyMjAwMA%3D%3D "HTTP/1.1 200 OK"
17:50:46 INFO httpx: HTTP Request: GET https://huggingface.co/api/datasets/mlfoundations/dclm-baseline-1.0/tree/a3b142c183aebe5af344955ae20836eb34dcf69b?expand=false&recursive=true&limit=1000&cursor=ZXlKbWFXeGxYMjVoYldVaU9pSm5iRzlpWVd3dGMyaGhjbVJmTURsZmIyWmZNVEF2Ykc5allXd3RjMmhoY21SZk1sOXZabDh4TUM5emFHRnlaRjh3TURBd01EQTJObDl3Y205alpYTnpaV1F1YW5OdmJtd3Vlbk4wSWl3aWRISmxaVjl2YVdRaU9pSXpNalU0WVdJeU1EUTROV00zTXpVek9ERXhaRGc0TUdZek0yRTFOVGt6TlRNNE9EQTBOakV6SW4wPToyMzAwMA%3D%3D "HTTP/1.1 200 OK"
17:50:46 INFO httpx: HTTP Request: GET https://huggingface.co/api/datasets/mlfoundations/dclm-baseline-1.0/tree/a3b142c183aebe5af344955ae20836eb34dcf69b?expand=false&recursive=true&limit=1000&cursor=ZXlKbWFXeGxYMjVoYldVaU9pSm5iRzlpWVd3dGMyaGhjbVJmTURsZmIyWmZNVEF2Ykc5allXd3RjMmhoY21SZk5WOXZabDh4TUM5emFHRnlaRjh3TURBd01ESXpNRjl3Y205alpYTnpaV1F1YW5OdmJtd3Vlbk4wSWl3aWRISmxaVjl2YVdRaU9pSXpNalU0WVdJeU1EUTROV00zTXpVek9ERXhaRGc0TUdZek0yRTFOVGt6TlRNNE9EQTBOakV6SW4wPToyNDAwMA%3D%3D "HTTP/1.1 200 OK"
17:50:47 INFO httpx: HTTP Request: GET https://huggingface.co/api/datasets/mlfoundations/dclm-baseline-1.0/tree/a3b142c183aebe5af344955ae20836eb34dcf69b?expand=false&recursive=true&limit=1000&cursor=ZXlKbWFXeGxYMjVoYldVaU9pSm5iRzlpWVd3dGMyaGhjbVJmTURsZmIyWmZNVEF2Ykc5allXd3RjMmhoY21SZk9WOXZabDh4TUM5emFHRnlaRjh3TURBd01ERXhPRjl3Y205alpYTnpaV1F1YW5OdmJtd3Vlbk4wSWl3aWRISmxaVjl2YVdRaU9pSXpNalU0WVdJeU1EUTROV00zTXpVek9ERXhaRGc0TUdZek0yRTFOVGt6TlRNNE9EQTBOakV6SW4wPToyNTAwMA%3D%3D "HTTP/1.1 200 OK"
17:50:47 INFO httpx: HTTP Request: GET https://huggingface.co/api/datasets/mlfoundations/dclm-baseline-1.0/tree/a3b142c183aebe5af344955ae20836eb34dcf69b?expand=false&recursive=true&limit=1000&cursor=ZXlKbWFXeGxYMjVoYldVaU9pSm5iRzlpWVd3dGMyaGhjbVJmTVRCZmIyWmZNVEF2Ykc5allXd3RjMmhoY21SZk0xOXZabDh4TUM5emFHRnlaRjh3TURBd01EQXdNbDl3Y205alpYTnpaV1F1YW5OdmJtd3Vlbk4wSWl3aWRISmxaVjl2YVdRaU9pSXpNalU0WVdJeU1EUTROV00zTXpVek9ERXhaRGc0TUdZek0yRTFOVGt6TlRNNE9EQTBOakV6SW4wPToyNjAwMA%3D%3D "HTTP/1.1 200 OK"
17:50:47 INFO httpx: HTTP Request: GET https://huggingface.co/api/datasets/mlfoundations/dclm-baseline-1.0/tree/a3b142c183aebe5af344955ae20836eb34dcf69b?expand=false&recursive=true&limit=1000&cursor=ZXlKbWFXeGxYMjVoYldVaU9pSm5iRzlpWVd3dGMyaGhjbVJmTVRCZmIyWmZNVEF2Ykc5allXd3RjMmhoY21SZk5sOXZabDh4TUM5emFHRnlaRjh3TURBd01ERTJOVjl3Y205alpYTnpaV1F1YW5OdmJtd3Vlbk4wSWl3aWRISmxaVjl2YVdRaU9pSXpNalU0WVdJeU1EUTROV00zTXpVek9ERXhaRGc0TUdZek0yRTFOVGt6TlRNNE9EQTBOakV6SW4wPToyNzAwMA%3D%3D "HTTP/1.1 200 OK"
17:51:03 INFO httpx: HTTP Request: GET https://huggingface.co/api/datasets/mlfoundations/dclm-baseline-1.0/revision/a3b142c183aebe5af344955ae20836eb34dcf69b "HTTP/1.1 200 OK"
17:51:03 INFO httpx: HTTP Request: GET https://huggingface.co/api/datasets/mlfoundations/dclm-baseline-1.0/tree/a3b142c183aebe5af344955ae20836eb34dcf69b/global-shard_01_of_10%2Flocal-shard_0_of_10?recursive=false&expand=false "HTTP/1.1 200 OK"
17:51:03 INFO httpx: HTTP Request: GET https://huggingface.co/datasets/mlfoundations/dclm-baseline-1.0/resolve/a3b142c183aebe5af344955ae20836eb34dcf69b/global-shard_01_of_10/local-shard_0_of_10/shard_00000000_processed.jsonl.zst "HTTP/1.1 302 Found"
17:51:03 INFO httpx: HTTP Request: GET https://cas-bridge.xethub.hf.co/xet-bridge-us/66708709d5c5d8fd8db3a5cf/adeebbf8e3920cc9031acb2fc507dc2cd4d034eb8a62aab1f6edf8ec49b74ad9?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=cas%2F20260314%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260314T174846Z&X-Amz-Expires=3600&X-Amz-Signature=38c2fccb33e8f66abcc290406132d79939e7f0aea7f7d32816e2e883f8c43465&X-Amz-SignedHeaders=host&X-Xet-Cas-Uid=public&response-content-disposition=inline%3B+filename*%3DUTF-8%27%27shard_00000000_processed.jsonl.zst%3B+filename%3D%22shard_00000000_processed.jsonl.zst%22%3B&x-amz-checksum-mode=ENABLED&x-id=GetObject&Expires=1773514126&Policy=eyJTdGF0ZW1lbnQiOlt7IkNvbmRpdGlvbiI6eyJEYXRlTGVzc1RoYW4iOnsiQVdTOkVwb2NoVGltZSI6MTc3MzUxNDEyNn19LCJSZXNvdXJjZSI6Imh0dHBzOi8vY2FzLWJyaWRnZS54ZXRodWIuaGYuY28veGV0LWJyaWRnZS11cy82NjcwODcwOWQ1YzVkOGZkOGRiM2E1Y2YvYWRlZWJiZjhlMzkyMGNjOTAzMWFjYjJmYzUwN2RjMmNkNGQwMzRlYjhhNjJhYWIxZjZlZGY4ZWM0OWI3NGFkOSoifV19&Signature=Sf6LIOdL2dRpZP-S2ScppZyeOL8hGaUDVwyvYGfju7E98g5K5UIsRg15tSsw3R2sQfFq-uD-BIgZpvR5x7%7EOwSJQ44AIE7NWC-V9M6JQQgA7HrtBK4cFxOmA9Vp9Qpil9xvsAQWZRGHWuQcaagRus0PT3RSA4vB-JaEouIOkRPcBP7dUWeMftr2QjngUXCvD3sNHefidGaQnYJoCo-Wndd26I4EhSIWp5HTXja-9PXPMAal18XtLxA3FhjIUWzo5Uc2pDaZ4lTmrwwaqWE6sSSoLHuasgW%7EpVw3fy%7ELnz0U1ePXX4yWK7wZ%7E7KV5TY8QxqqnJx-gFKxZiEBiBRFutg__&Key-Pair-Id=K2L8F4GPSG1IFC "HTTP/1.1 206 Partial Content"
17:51:04 INFO httpx: HTTP Request: GET https://huggingface.co/datasets/mlfoundations/dclm-baseline-1.0/resolve/a3b142c183aebe5af344955ae20836eb34dcf69b/global-shard_01_of_10/local-shard_0_of_10/shard_00000000_processed.jsonl.zst "HTTP/1.1 302 Found"
17:51:04 INFO httpx: HTTP Request: GET https://cas-bridge.xethub.hf.co/xet-bridge-us/66708709d5c5d8fd8db3a5cf/adeebbf8e3920cc9031acb2fc507dc2cd4d034eb8a62aab1f6edf8ec49b74ad9?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=cas%2F20260314%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260314T174730Z&X-Amz-Expires=3600&X-Amz-Signature=4aba589ca5a02b68e3c3f56405fa25ea38e0338d2be50e6a1f467d24870e9200&X-Amz-SignedHeaders=host&X-Xet-Cas-Uid=public&response-content-disposition=inline%3B+filename*%3DUTF-8%27%27shard_00000000_processed.jsonl.zst%3B+filename%3D%22shard_00000000_processed.jsonl.zst%22%3B&x-amz-checksum-mode=ENABLED&x-id=GetObject&Expires=1773514050&Policy=eyJTdGF0ZW1lbnQiOlt7IkNvbmRpdGlvbiI6eyJEYXRlTGVzc1RoYW4iOnsiQVdTOkVwb2NoVGltZSI6MTc3MzUxNDA1MH19LCJSZXNvdXJjZSI6Imh0dHBzOi8vY2FzLWJyaWRnZS54ZXRodWIuaGYuY28veGV0LWJyaWRnZS11cy82NjcwODcwOWQ1YzVkOGZkOGRiM2E1Y2YvYWRlZWJiZjhlMzkyMGNjOTAzMWFjYjJmYzUwN2RjMmNkNGQwMzRlYjhhNjJhYWIxZjZlZGY4ZWM0OWI3NGFkOSoifV19&Signature=dtdQ19LGke4CbU1eyiP0cnoiIvvLG60Qk3dyPAhgkA70gSkoF5lrcR2v58y%7EAHp3UdLlnUCT7PHKbwX06Bk1ztxLDw3C5uG886lCVPvMYtMywv%7ETfgTEl6wQ14BEACpG2J1PdQ5F4nMpVSeQ8WCPuRbdaDs%7EFZ7gZFrfPus26lzEGfQ6eEPxysH-LRtrWM44KEEVSEDnJefATMZOMpL7kx-Iz0yRqlHPWe8ijfZuxs-0G1%7EW8LGhlEcBZsyI10J1Eoy8r%7E2%7ERirB%7EUM-Xr6xyoUE1soBN1NdO7MmxVseCb9ElD1s9TltCAhtiKDlQgI%7E-I7oqRx%7Eu0boUML-dcVI5Q__&Key-Pair-Id=K2L8F4GPSG1IFC "HTTP/1.1 206 Partial Content"
