12:52:16 [INFO] h-m1: ============================================================
12:52:16 [INFO] h-m1: H-M1: Flat MLP Encoder Permutation Sensitivity Probing
12:52:16 [INFO] h-m1: ============================================================
12:52:16 [INFO] h-m1: [H-M1] Using device: cuda
12:52:16 [INFO] h-m1: Step 1: Loading dataset...
12:52:16 [INFO] h-m1: Loading ../../.data_cache/datasets/mnist_hyp_rand/dataset_mnist_hyp_rand.pt
12:53:30 [INFO] h-m1:   trainset: 1589 final-epoch checkpoints (max_iter=50)
12:53:30 [INFO] h-m1:   valset: 322 final-epoch checkpoints (max_iter=50)
12:53:30 [INFO] h-m1:   testset: 338 final-epoch checkpoints (max_iter=50)
12:53:32 [INFO] h-m1: Total checkpoints: 2249 (train=1589, val=322, test=338)
12:53:43 [INFO] h-m1: [H-M1] Epoch 88/150: train_loss=0.0025, val_loss=0.1301, val_rho=0.3070
12:53:43 [INFO] h-m1: [H-M1] Epoch 89/150: train_loss=0.0028, val_loss=0.1316, val_rho=0.3070
12:53:43 [INFO] h-m1: [H-M1] Epoch 90/150: train_loss=0.0026, val_loss=0.1324, val_rho=0.3092
12:53:43 [INFO] h-m1: [H-M1] Epoch 91/150: train_loss=0.0027, val_loss=0.1246, val_rho=0.3092
12:53:43 [INFO] h-m1: [H-M1] Epoch 92/150: train_loss=0.0026, val_loss=0.1314, val_rho=0.3092
12:53:44 [INFO] h-m1: [H-M1] Epoch 93/150: train_loss=0.0025, val_loss=0.1316, val_rho=0.3092
12:53:44 [INFO] h-m1: [H-M1] Epoch 94/150: train_loss=0.0025, val_loss=0.1285, val_rho=0.3092
12:53:44 [INFO] h-m1: [H-M1] Epoch 95/150: train_loss=0.0023, val_loss=0.1302, val_rho=0.3092
12:53:44 [INFO] h-m1: [H-M1] Epoch 96/150: train_loss=0.0023, val_loss=0.1274, val_rho=0.3092
12:53:44 [INFO] h-m1: [H-M1] Epoch 97/150: train_loss=0.0023, val_loss=0.1340, val_rho=0.3092
12:53:44 [INFO] h-m1: [H-M1] Epoch 98/150: train_loss=0.0024, val_loss=0.1285, val_rho=0.3092
12:53:44 [INFO] h-m1: [H-M1] Epoch 99/150: train_loss=0.0024, val_loss=0.1305, val_rho=0.3092
12:53:44 [INFO] h-m1: [H-M1] Epoch 100/150: train_loss=0.0023, val_loss=0.1320, val_rho=0.3168
12:53:44 [INFO] h-m1: [H-M1] Epoch 101/150: train_loss=0.0021, val_loss=0.1310, val_rho=0.3168
12:53:45 [INFO] h-m1: [H-M1] Epoch 102/150: train_loss=0.0023, val_loss=0.1313, val_rho=0.3168
12:53:45 [INFO] h-m1: [H-M1] Epoch 103/150: train_loss=0.0022, val_loss=0.1304, val_rho=0.3168
12:53:45 [INFO] h-m1: [H-M1] Epoch 104/150: train_loss=0.0023, val_loss=0.1286, val_rho=0.3168
12:53:45 [INFO] h-m1: [H-M1] Epoch 105/150: train_loss=0.0022, val_loss=0.1274, val_rho=0.3168
12:53:45 [INFO] h-m1: [H-M1] Epoch 106/150: train_loss=0.0018, val_loss=0.1316, val_rho=0.3168
12:53:45 [INFO] h-m1: [H-M1] Epoch 107/150: train_loss=0.0018, val_loss=0.1319, val_rho=0.3168
12:53:45 [INFO] h-m1: [H-M1] Epoch 108/150: train_loss=0.0018, val_loss=0.1293, val_rho=0.3168
12:53:45 [INFO] h-m1: [H-M1] Epoch 109/150: train_loss=0.0017, val_loss=0.1301, val_rho=0.3168
12:53:45 [INFO] h-m1: [H-M1] Epoch 110/150: train_loss=0.0018, val_loss=0.1281, val_rho=0.3169
12:53:46 [INFO] h-m1: [H-M1] Epoch 111/150: train_loss=0.0017, val_loss=0.1313, val_rho=0.3169
12:53:46 [INFO] h-m1: [H-M1] Epoch 112/150: train_loss=0.0017, val_loss=0.1279, val_rho=0.3169
12:53:46 [INFO] h-m1: [H-M1] Epoch 113/150: train_loss=0.0017, val_loss=0.1314, val_rho=0.3169
12:53:46 [INFO] h-m1: [H-M1] Epoch 114/150: train_loss=0.0016, val_loss=0.1289, val_rho=0.3169
12:53:46 [INFO] h-m1: [H-M1] Epoch 115/150: train_loss=0.0016, val_loss=0.1272, val_rho=0.3169
12:53:46 [INFO] h-m1: [H-M1] Epoch 116/150: train_loss=0.0015, val_loss=0.1290, val_rho=0.3169
12:53:46 [INFO] h-m1: [H-M1] Epoch 117/150: train_loss=0.0015, val_loss=0.1309, val_rho=0.3169
12:53:46 [INFO] h-m1: [H-M1] Epoch 118/150: train_loss=0.0016, val_loss=0.1308, val_rho=0.3169
12:53:46 [INFO] h-m1: [H-M1] Epoch 119/150: train_loss=0.0014, val_loss=0.1314, val_rho=0.3169
12:53:46 [INFO] h-m1: [H-M1] Epoch 120/150: train_loss=0.0014, val_loss=0.1315, val_rho=0.3136
12:53:47 [INFO] h-m1: [H-M1] Epoch 121/150: train_loss=0.0014, val_loss=0.1323, val_rho=0.3136
12:53:47 [INFO] h-m1: [H-M1] Epoch 122/150: train_loss=0.0012, val_loss=0.1299, val_rho=0.3136
12:53:47 [INFO] h-m1: [H-M1] Epoch 123/150: train_loss=0.0013, val_loss=0.1299, val_rho=0.3136
12:53:47 [INFO] h-m1: [H-M1] Epoch 124/150: train_loss=0.0011, val_loss=0.1315, val_rho=0.3136
12:53:47 [INFO] h-m1: [H-M1] Epoch 125/150: train_loss=0.0012, val_loss=0.1326, val_rho=0.3136
12:53:47 [INFO] h-m1: [H-M1] Epoch 126/150: train_loss=0.0013, val_loss=0.1305, val_rho=0.3136
12:53:47 [INFO] h-m1: [H-M1] Epoch 127/150: train_loss=0.0012, val_loss=0.1316, val_rho=0.3136
12:53:47 [INFO] h-m1: [H-M1] Epoch 128/150: train_loss=0.0012, val_loss=0.1313, val_rho=0.3136
12:53:47 [INFO] h-m1: [H-M1] Epoch 129/150: train_loss=0.0011, val_loss=0.1323, val_rho=0.3136
12:53:48 [INFO] h-m1: [H-M1] Epoch 130/150: train_loss=0.0012, val_loss=0.1318, val_rho=0.3181
12:53:48 [INFO] h-m1: [H-M1] Epoch 131/150: train_loss=0.0011, val_loss=0.1312, val_rho=0.3181
12:53:48 [INFO] h-m1: [H-M1] Epoch 132/150: train_loss=0.0011, val_loss=0.1313, val_rho=0.3181
12:53:48 [INFO] h-m1: [H-M1] Epoch 133/150: train_loss=0.0011, val_loss=0.1334, val_rho=0.3181
12:53:48 [INFO] h-m1: [H-M1] Epoch 134/150: train_loss=0.0011, val_loss=0.1326, val_rho=0.3181
12:53:48 [INFO] h-m1: [H-M1] Epoch 135/150: train_loss=0.0011, val_loss=0.1328, val_rho=0.3181
12:53:48 [INFO] h-m1: [H-M1] Epoch 136/150: train_loss=0.0011, val_loss=0.1341, val_rho=0.3181
12:53:48 [INFO] h-m1: [H-M1] Epoch 137/150: train_loss=0.0010, val_loss=0.1332, val_rho=0.3181
12:53:49 [INFO] h-m1: [H-M1] Epoch 138/150: train_loss=0.0011, val_loss=0.1335, val_rho=0.3181
12:53:49 [INFO] h-m1: [H-M1] Epoch 139/150: train_loss=0.0010, val_loss=0.1328, val_rho=0.3181
12:53:49 [INFO] h-m1: [H-M1] Epoch 140/150: train_loss=0.0010, val_loss=0.1334, val_rho=0.3166
12:53:49 [INFO] h-m1: [H-M1] Epoch 141/150: train_loss=0.0010, val_loss=0.1333, val_rho=0.3166
12:53:49 [INFO] h-m1: [H-M1] Epoch 142/150: train_loss=0.0011, val_loss=0.1332, val_rho=0.3166
12:53:49 [INFO] h-m1: [H-M1] Epoch 143/150: train_loss=0.0010, val_loss=0.1330, val_rho=0.3166
12:53:49 [INFO] h-m1: [H-M1] Epoch 144/150: train_loss=0.0011, val_loss=0.1334, val_rho=0.3166
12:53:49 [INFO] h-m1: [H-M1] Epoch 145/150: train_loss=0.0011, val_loss=0.1331, val_rho=0.3166
12:53:49 [INFO] h-m1: [H-M1] Epoch 146/150: train_loss=0.0009, val_loss=0.1328, val_rho=0.3166
12:53:50 [INFO] h-m1: [H-M1] Epoch 147/150: train_loss=0.0010, val_loss=0.1328, val_rho=0.3166
12:53:50 [INFO] h-m1: [H-M1] Epoch 148/150: train_loss=0.0009, val_loss=0.1328, val_rho=0.3166
12:53:50 [INFO] h-m1: [H-M1] Epoch 149/150: train_loss=0.0009, val_loss=0.1328, val_rho=0.3166
12:53:50 [INFO] h-m1: [H-M1] Epoch 150/150: train_loss=0.0010, val_loss=0.1328, val_rho=0.3162
12:53:50 [INFO] h-m1: [H-M1] Training complete. Best val_loss=0.1052
12:53:50 [INFO] h-m1:   Training complete. Final val_rho=0.3162
12:53:50 [INFO] h-m1: Step 4: Computing Spearman rho on test set...
12:53:50 [INFO] h-m1:   [H-M1] Encoder trained. Spearman rho = 0.1041
12:53:50 [INFO] h-m1: Step 5: Computing permutation sensitivity...
12:53:50 [INFO] h-m1: [H-M1] Encoder trained. Spearman rho = 0.1041. Running permutation sensitivity probing...
12:53:50 [INFO] h-m1: [H-M1] Running permutation sensitivity probing on 500 pairs...

Probing:   0%|          | 0/500 [00:00<?, ?it/s]
Probing:  33%|███▎      | 167/500 [00:00<00:00, 1662.66it/s]
Probing:  67%|██████▋   | 334/500 [00:00<00:00, 1663.92it/s]
Probing: 100%|██████████| 500/500 [00:00<00:00, 1664.36it/s]
12:53:50 [INFO] h-m1: [H-M1] sensitivity_score=0.6490, mean_equiv_L2=4.2116, mean_random_L2=6.4895
12:53:50 [INFO] h-m1:   sensitivity_score=0.6490, mean_equiv_L2=4.2116, mean_random_L2=6.4895
12:53:50 [INFO] h-m1: Step 6: Running MUST_WORK gate check...
12:53:50 [INFO] h-m1: [H-M1] Gate PASS: sensitivity_score=0.6490 (threshold=0.3)
12:53:50 [INFO] h-m1: [H-M1] spearman_rho=0.1041, param_count=500,577 (in_range=True), n_pairs=500 (sufficient=True)
12:53:50 [INFO] h-m1:   [H-M1] Gate: PASS
12:53:50 [INFO] h-m1: [H-M1] Results saved to results/h-m1_results.json
12:53:50 [INFO] h-m1: Step 8: Generating figures...
12:53:50 [INFO] h-m1: [H-M1] Saved figures/gate_metrics.png
12:53:50 [INFO] h-m1: [H-M1] Saved figures/l2_distance_distribution.png
12:53:51 [INFO] h-m1: [H-M1] Saved figures/training_curve.png
12:53:51 [INFO] h-m1: [H-M1] Saved figures/sensitivity_by_decile.png
12:53:51 [INFO] h-m1: [H-M1] Saved figures/embedding_scatter.png
12:53:51 [INFO] h-m1:   Figures saved to figures


============================================================
H-M1 MUST_WORK Gate: PASS
  sensitivity_score = 0.6490 (threshold > 0.3)
  spearman_rho      = 0.1041
  param_count       = 500,577
  n_pairs           = 500
============================================================
EXPERIMENT COMPLETE

