repo_id,stars,forks,contributors,total_commits,open_issues,closed_issues,total_issues,days_since_last_commit,commit_frequency_median_weekly
facebookresearch/hydra,8400,1100,180,2400,320,2560,2880,5,4.62
omry/omegaconf,1800,180,45,920,82,656,738,8,1.77
willmcgugan/rich,47000,1700,240,2800,95,760,855,1,5.38
tiangolo/fastapi,72000,6100,580,5200,920,7360,8280,1,10.0
encode/httpx,12000,920,180,1800,280,2240,2520,2,3.46
aio-libs/aiohttp,15000,2000,680,7800,320,2560,2880,1,15.0
jina-ai/jina,20000,2100,180,5800,380,3040,3420,2,11.15
microsoft/nni,13000,1800,240,4200,420,3360,3780,8,8.08
feast-dev/feast,5300,920,280,6200,380,3040,3420,2,11.92
horovod/horovod,14000,2200,180,2800,680,5440,6120,120,3.59
allegroai/trains,5500,580,82,4800,125,187,312,240,4.62
Netflix/metaflow,7700,1100,95,2400,180,1440,1620,12,4.62
lucidrains/DALLE2-pytorch,10000,1200,18,420,68,544,612,90,0.54
borisdayma/dalle-mini,14000,1900,35,280,120,180,300,240,0.27
huggingface/diffusers,23000,4700,420,4200,520,4160,4680,1,8.08
microsoft/unilm,18000,3200,95,1400,180,1440,1620,45,1.79
salesforce/LAVIS,8600,1200,82,820,220,1760,1980,12,1.58
facebookresearch/llama,52000,5200,18,120,0,0,0,180,0.12
google-research/vision_transformer,9600,2100,42,320,58,464,522,60,0.41
rwightman/efficientnet-jax,780,120,8,180,5,7,12,240,0.17
microsoft/COCO-LM,520,95,12,120,8,12,20,420,0.12
EleutherAI/gpt-neo,8200,840,35,420,82,123,205,180,0.4
EleutherAI/gpt-j,9800,1300,28,280,120,180,300,240,0.27
bigscience-workshop/bigscience,2100,420,58,1200,68,102,170,180,1.15
CarperAI/trlx,4400,580,42,680,95,760,855,90,0.87
lvwerra/trl,8200,1100,120,1400,180,1440,1620,5,2.69
openai/point-e,6100,580,12,95,28,42,70,240,0.09
openai/shap-e,11000,1300,18,120,82,123,205,180,0.12
Dao AI-Lab/flash-attention,12000,1400,68,820,280,2240,2520,3,1.58
vllm-project/vllm,23000,2600,420,3800,920,7360,8280,1,7.31
coqui-ai/TTS,31000,3700,240,3600,420,3360,3780,12,6.92
espnet/espnet,8000,2700,420,12000,280,2240,2520,2,23.08
jaywalnut310/vits,6100,1100,24,280,68,544,612,120,0.36
neonbjb/tortoise-tts,12000,1500,35,620,180,270,450,180,0.6
microsoft/semantic-kernel,20000,2400,280,5200,520,4160,4680,1,10.0
jerryjliu/llama_index,32000,3500,580,7800,680,5440,6120,1,15.0
langchain-ai/langchain,88000,13000,2100,16000,1800,14400,16200,1,30.77
run-llama/rags,4700,520,42,820,125,1000,1125,7,1.58
chroma-core/chroma,13000,1100,180,2800,420,3360,3780,1,5.38
pinecone-io/pinecone-python-client,4100,420,68,680,95,760,855,3,1.31
weaviate/weaviate,10000,740,180,7200,280,2240,2520,1,13.85
milvus-io/milvus,27000,4200,420,18000,820,6560,7380,1,34.62
qdrant/qdrant,18000,1200,240,5200,380,3040,3420,1,10.0
jina-ai/clip-as-service,12000,920,68,1200,95,760,855,15,2.31
