repo_id,stars,forks,contributors,total_commits,open_issues,days_since_last_commit
EleutherAI/gpt-neo,8200,840,35,420,82,180
EleutherAI/gpt-j,9800,1300,28,280,120,240
bigscience-workshop/bigscience,2100,420,58,1200,68,180
CarperAI/trlx,4400,580,42,680,95,90
lvwerra/trl,8200,1100,120,1400,180,5
openai/point-e,6100,580,12,95,28,240
openai/shap-e,11000,1300,18,120,82,180
Dao AI-Lab/flash-attention,12000,1400,68,820,280,3
vllm-project/vllm,23000,2600,420,3800,920,1
coqui-ai/TTS,31000,3700,240,3600,420,12
espnet/espnet,8000,2700,420,12000,280,2
jaywalnut310/vits,6100,1100,24,280,68,120
neonbjb/tortoise-tts,12000,1500,35,620,180,180
microsoft/semantic-kernel,20000,2400,280,5200,520,1
jerryjliu/llama_index,32000,3500,580,7800,680,1
langchain-ai/langchain,88000,13000,2100,16000,1800,1
run-llama/rags,4700,520,42,820,125,7
chroma-core/chroma,13000,1100,180,2800,420,1
pinecone-io/pinecone-python-client,4100,420,68,680,95,3
weaviate/weaviate,10000,740,180,7200,280,1
milvus-io/milvus,27000,4200,420,18000,820,1
qdrant/qdrant,18000,1200,240,5200,380,1
jina-ai/clip-as-service,12000,920,68,1200,95,15
